# Plan 1: AttentionMIL with CORAL Loss
epoch,train_loss,valid_loss,f1_macro,kappa,mae,learning_rate
1,0.452888,0.371888,0.1012,0.0000,0.8643,0.0001
2,0.385020,0.363464,0.1012,0.0000,0.8643,0.0001
3,0.381856,0.362688,0.1280,0.0495,0.8714,0.0001
4,0.380782,0.375120,0.1012,0.0000,0.8643,0.0001
5,0.373329,0.366911,0.1283,0.0240,0.8714,0.0001
6,0.358833,0.369616,0.1065,-0.0127,0.9000,0.0001
7,0.358975,0.367416,0.1226,0.0339,0.8286,0.0001
8,0.350446,0.364048,0.1287,0.0688,0.8357,0.0001
9,0.340610,0.347927,0.1574,0.1747,0.7500,0.0001
10,0.328178,0.384732,0.0998,0.0238,0.8643,0.0001
11,0.335866,0.371602,0.1836,0.0945,0.7929,0.0001
12,0.306332,0.348487,0.1503,0.1665,0.7857,0.0001
13,0.312739,0.372741,0.1418,0.0919,0.8286,0.0001
14,0.315890,0.390301,0.1075,0.0138,0.8571,0.0001
15,0.308654,0.336749,0.1710,0.1829,0.8000,0.0001
16,0.296497,0.357205,0.1506,0.1656,0.7786,0.0001
17,0.290545,0.353634,0.1350,0.1945,0.7857,0.0001
18,0.291455,0.355175,0.1720,0.2093,0.7786,0.0001
19,0.274361,0.379940,0.1445,0.1560,0.8143,0.0001
20,0.289555,0.421578,0.1066,0.0177,0.8571,0.0001
21,0.279197,0.348541,0.1608,0.2910,0.7786,0.0001
22,0.279415,0.333939,0.3761,0.4472,0.6357,0.0001
23,0.266772,0.369413,0.2896,0.2917,0.8071,0.0001
24,0.278284,0.380720,0.1554,0.1441,0.8500,0.0001
25,0.262290,0.409587,0.1715,0.1456,0.7929,0.0001
26,0.272257,0.347962,0.2742,0.3578,0.7857,0.0001
27,0.269779,0.340662,0.1574,0.2434,0.7643,0.0001
28,0.259764,0.398193,0.1534,0.1452,0.8214,0.0001
29,0.280005,0.361334,0.2741,0.3310,0.7357,0.0001
30,0.244829,0.376549,0.1942,0.3354,0.8929,0.0001
31,0.259214,0.335598,0.1765,0.2381,0.7357,0.0001
32,0.250324,0.353793,0.1383,0.1890,0.8000,0.0001
33,0.234993,0.341359,0.2498,0.3441,0.7643,0.0001
34,0.236035,0.313291,0.2518,0.4398,0.7000,2e-05
35,0.230200,0.327718,0.1855,0.3436,0.7571,2e-05
36,0.224256,0.325832,0.2258,0.3176,0.7786,2e-05
37,0.214832,0.331914,0.2208,0.3965,0.7429,2e-05
38,0.214899,0.339088,0.2248,0.3640,0.6857,2e-05
39,0.213108,0.326457,0.1402,0.3487,0.7714,2e-05
40,0.223118,0.324671,0.2385,0.3810,0.7000,2e-05
41,0.209871,0.344916,0.2304,0.3471,0.7429,2e-05
42,0.213421,0.323418,0.2121,0.3893,0.7000,2e-05
43,0.189977,0.325016,0.2940,0.3566,0.7643,2e-05
44,0.206180,0.320587,0.2126,0.4355,0.7143,2e-05
45,0.209596,0.316277,0.2543,0.4668,0.7000,4.000000000000001e-06
46,0.204497,0.327615,0.2266,0.3923,0.7500,4.000000000000001e-06
47,0.195666,0.318148,0.3347,0.4620,0.6714,4.000000000000001e-06
48,0.200400,0.358745,0.1761,0.2606,0.8071,4.000000000000001e-06
49,0.210301,0.333394,0.2536,0.4456,0.7071,4.000000000000001e-06
50,0.189761,0.350769,0.1927,0.2786,0.8071,4.000000000000001e-06
51,0.184570,0.309790,0.1931,0.4737,0.7286,4.000000000000001e-06
52,0.186400,0.305171,0.3007,0.5197,0.6500,4.000000000000001e-06
53,0.201182,0.307216,0.2493,0.4948,0.6357,4.000000000000001e-06
54,0.193049,0.306145,0.2772,0.5010,0.6571,4.000000000000001e-06
55,0.189819,0.312393,0.2715,0.4622,0.6429,4.000000000000001e-06
56,0.203501,0.294019,0.2730,0.4608,0.6714,4.000000000000001e-06
57,0.189058,0.321404,0.2904,0.4191,0.7000,4.000000000000001e-06
58,0.192448,0.298765,0.2333,0.4403,0.6857,4.000000000000001e-06
59,0.206420,0.311107,0.2380,0.4394,0.7143,4.000000000000001e-06
60,0.204768,0.302127,0.2755,0.4795,0.6929,4.000000000000001e-06
61,0.189010,0.313605,0.2049,0.3549,0.7714,4.000000000000001e-06
62,0.200592,0.309219,0.2203,0.4712,0.6857,4.000000000000001e-06
63,0.196102,0.310408,0.2806,0.4572,0.6571,4.000000000000001e-06
64,0.188961,0.313935,0.2178,0.3870,0.6786,8.000000000000002e-07
65,0.187454,0.322971,0.2571,0.4142,0.6714,8.000000000000002e-07
66,0.190130,0.306700,0.2503,0.4210,0.6929,8.000000000000002e-07
67,0.190984,0.311026,0.2548,0.4598,0.6929,8.000000000000002e-07
68,0.188619,0.301992,0.3289,0.5201,0.6714,8.000000000000002e-07
69,0.197744,0.331684,0.2099,0.2936,0.7643,8.000000000000002e-07
70,0.193876,0.304412,0.2829,0.4810,0.6357,8.000000000000002e-07
71,0.191234,0.324278,0.2568,0.4288,0.6786,8.000000000000002e-07
72,0.207191,0.306534,0.2317,0.3909,0.6929,8.000000000000002e-07
73,0.192744,0.299270,0.3267,0.5393,0.6286,8.000000000000002e-07
74,0.198350,0.297436,0.3233,0.4978,0.6429,8.000000000000002e-07
75,0.200156,0.343574,0.1932,0.2887,0.7786,8.000000000000002e-07
76,0.190133,0.323849,0.2299,0.3889,0.7643,8.000000000000002e-07
77,0.196163,0.301579,0.2135,0.5133,0.6500,8.000000000000002e-07
78,0.195289,0.332610,0.1833,0.3618,0.7714,8.000000000000002e-07
79,0.199803,0.338810,0.1832,0.3451,0.7571,8.000000000000002e-07
80,0.188581,0.324456,0.2417,0.3829,0.7143,8.000000000000002e-07
81,0.194012,0.296949,0.2430,0.4790,0.6429,8.000000000000002e-07
82,0.196659,0.311814,0.2136,0.4587,0.7000,8.000000000000002e-07
83,0.189143,0.320967,0.3133,0.4964,0.6500,8.000000000000002e-07
84,0.200389,0.334488,0.2502,0.3327,0.7143,8.000000000000002e-07
85,0.191717,0.330193,0.2306,0.4585,0.7071,1.6000000000000006e-07
86,0.194128,0.323915,0.2401,0.4015,0.7071,1.6000000000000006e-07
87,0.185060,0.335262,0.2347,0.3705,0.7357,1.6000000000000006e-07
88,0.201246,0.330497,0.2525,0.4272,0.6857,1.6000000000000006e-07
89,0.195891,0.327162,0.2441,0.4139,0.6929,1.6000000000000006e-07
90,0.191863,0.310649,0.2351,0.4359,0.7429,1.6000000000000006e-07
91,0.194508,0.348349,0.3060,0.3442,0.7786,1.6000000000000006e-07
92,0.194128,0.294954,0.2238,0.4271,0.7143,1.6000000000000006e-07
93,0.184136,0.297494,0.2197,0.4175,0.6929,1.6000000000000006e-07
94,0.195490,0.339690,0.2247,0.4152,0.6786,1.6000000000000006e-07
95,0.191670,0.322824,0.2165,0.4129,0.7500,1.6000000000000006e-07
96,0.180360,0.335722,0.1774,0.2270,0.8000,3.2000000000000015e-08
97,0.197123,0.309846,0.2027,0.4510,0.7000,3.2000000000000015e-08
98,0.194773,0.323904,0.3262,0.4199,0.7286,3.2000000000000015e-08
99,0.184732,0.325615,0.3345,0.4770,0.6571,3.2000000000000015e-08
100,0.184692,0.304194,0.1920,0.4838,0.7143,3.2000000000000015e-08
101,0.183665,0.340718,0.2971,0.3566,0.7357,3.2000000000000015e-08
102,0.184448,0.314836,0.3410,0.4396,0.6500,3.2000000000000015e-08
103,0.189957,0.338956,0.1944,0.3557,0.7571,3.2000000000000015e-08
104,0.186133,0.350450,0.1745,0.2499,0.7929,3.2000000000000015e-08
105,0.182106,0.325199,0.2396,0.2799,0.7429,3.2000000000000015e-08
106,0.206025,0.279890,0.2697,0.5584,0.6143,3.2000000000000015e-08
107,0.189924,0.329029,0.2596,0.3665,0.7214,3.2000000000000015e-08
108,0.187883,0.320688,0.2387,0.4498,0.6857,3.2000000000000015e-08
109,0.190755,0.303644,0.3116,0.4556,0.6643,3.2000000000000015e-08
110,0.196204,0.315406,0.2394,0.3700,0.6857,3.2000000000000015e-08
111,0.187197,0.311243,0.2843,0.3872,0.7071,3.2000000000000015e-08
112,0.191460,0.339550,0.2953,0.3606,0.7000,3.2000000000000015e-08
113,0.186084,0.310521,0.3330,0.4462,0.6357,3.2000000000000015e-08
114,0.193022,0.319416,0.3020,0.4748,0.6857,3.2000000000000015e-08
115,0.194864,0.321577,0.2561,0.2921,0.7286,3.2000000000000015e-08
116,0.190937,0.321771,0.2884,0.4197,0.6643,3.2000000000000015e-08
117,0.193944,0.300061,0.3809,0.5283,0.6571,3.2000000000000015e-08
118,0.194055,0.325588,0.2330,0.3970,0.7143,1e-08
119,0.189263,0.326621,0.2304,0.4492,0.6857,1e-08
120,0.198456,0.323466,0.2722,0.4331,0.6929,1e-08
121,0.190313,0.309949,0.2941,0.4412,0.6500,1e-08
122,0.186759,0.314101,0.2241,0.4013,0.6929,1e-08
123,0.196484,0.299933,0.2597,0.4756,0.6643,1e-08
124,0.196815,0.310262,0.2829,0.4367,0.6714,1e-08
125,0.182406,0.336362,0.2493,0.4177,0.6857,1e-08
