# Model: UNetHeatmapModel (512px, Transfer), Loss: MSELoss
epoch,train_loss,valid_mre,learning_rate
1,0.048806,288.7116,0.0001
2,0.007897,294.4881,0.0001
3,0.003572,297.4736,0.0001
4,0.002519,302.5498,0.0001
5,0.002054,301.4282,0.0001
6,0.001766,302.9935,0.0001
7,0.001551,305.4823,0.0001
8,0.001452,304.9714,2e-05
9,0.001426,304.6950,2e-05
10,0.001391,304.6547,2e-05
11,0.001360,306.7527,2e-05
12,0.001334,305.7821,2e-05
13,0.001311,304.2918,2e-05
14,0.001292,307.9700,4.000000000000001e-06
15,0.001284,307.4351,4.000000000000001e-06
16,0.001174,307.8558,1e-05
17,0.001008,304.7041,1e-05
18,0.000903,303.2862,1e-05
19,0.000826,300.0447,1e-05
20,0.000768,301.8087,1e-05
21,0.000726,299.9653,1e-05
22,0.000691,299.4166,1e-05
23,0.000662,296.9538,1e-05
24,0.000639,296.0523,1e-05
25,0.000618,294.0151,1e-05
26,0.000599,289.9223,1e-05
27,0.000584,284.3485,1e-05
28,0.000570,278.4438,1e-05
29,0.000560,272.0525,1e-05
30,0.000550,256.8461,1e-05
31,0.000539,249.5395,1e-05
32,0.000531,228.5947,1e-05
33,0.000523,219.0021,1e-05
34,0.000516,210.5419,1e-05
35,0.000509,201.9439,1e-05
36,0.000502,188.9777,1e-05
37,0.000496,176.3662,1e-05
38,0.000489,166.6932,1e-05
39,0.000483,154.2249,1e-05
40,0.000477,143.4084,1e-05
41,0.000470,130.8624,1e-05
42,0.000463,123.1696,1e-05
43,0.000456,117.1333,1e-05
44,0.000448,109.3520,1e-05
45,0.000442,105.9553,1e-05
46,0.000433,103.9696,1e-05
47,0.000426,101.6983,1e-05
48,0.000419,98.3787,1e-05
49,0.000412,95.2412,1e-05
50,0.000404,92.1059,1e-05
51,0.000397,89.1890,1e-05
52,0.000390,85.7267,1e-05
53,0.000381,82.8749,1e-05
54,0.000374,77.8689,1e-05
55,0.000367,74.3431,1e-05
56,0.000359,72.1672,1e-05
57,0.000352,70.1847,1e-05
58,0.000345,69.0447,1e-05
59,0.000338,68.4952,1e-05
60,0.000331,67.2380,1e-05
61,0.000324,66.9790,1e-05
62,0.000318,65.7390,1e-05
63,0.000310,63.9647,1e-05
64,0.000304,63.8622,1e-05
65,0.000298,62.6445,1e-05
66,0.000292,61.4234,1e-05
67,0.000286,59.5341,1e-05
68,0.000280,57.9167,1e-05
69,0.000273,55.4012,1e-05
70,0.000268,51.1120,1e-05
71,0.000263,48.8742,1e-05
72,0.000258,47.2098,1e-05
73,0.000254,44.7433,1e-05
74,0.000249,43.3589,1e-05
75,0.000244,39.9821,1e-05
76,0.000239,38.0643,1e-05
77,0.000236,35.0835,1e-05
78,0.000231,33.6045,1e-05
79,0.000228,31.8566,1e-05
80,0.000225,30.7107,1e-05
81,0.000220,29.3797,1e-05
82,0.000217,27.5562,1e-05
83,0.000213,25.1128,1e-05
84,0.000209,23.3827,1e-05
85,0.000205,21.0469,1e-05
86,0.000202,19.2789,1e-05
87,0.000199,17.8530,1e-05
88,0.000196,16.0958,1e-05
89,0.000193,13.7972,1e-05
90,0.000190,11.3232,1e-05
91,0.000186,9.5509,1e-05
92,0.000184,7.6906,1e-05
93,0.000181,6.4753,1e-05
94,0.000178,6.2279,1e-05
95,0.000176,5.8770,1e-05
96,0.000173,5.7727,1e-05
97,0.000169,5.5216,1e-05
98,0.000167,5.4416,1e-05
99,0.000165,5.3993,1e-05
100,0.000162,5.2822,1e-05
101,0.000160,5.1984,1e-05
102,0.000157,5.0821,1e-05
103,0.000155,5.1194,1e-05
104,0.000154,5.0691,1e-05
105,0.000152,5.0182,1e-05
106,0.000150,5.0144,1e-05
107,0.000149,4.9777,1e-05
108,0.000147,4.9451,1e-05
109,0.000145,4.9277,1e-05
110,0.000143,4.9684,1e-05
111,0.000142,4.9177,1e-05
112,0.000140,4.8665,1e-05
113,0.000138,4.8513,1e-05
114,0.000138,4.8476,1e-05
115,0.000135,4.8498,1e-05
116,0.000135,4.8567,1e-05
117,0.000133,4.7711,1e-05
118,0.000132,4.8002,1e-05
119,0.000132,4.7501,1e-05
120,0.000130,4.7917,1e-05
121,0.000129,4.7701,1e-05
122,0.000128,4.7543,1e-05
123,0.000127,4.7189,1e-05
124,0.000125,4.7466,1e-05
125,0.000125,4.6764,1e-05
126,0.000125,4.6874,1e-05
127,0.000123,4.6627,1e-05
128,0.000122,4.6683,1e-05
129,0.000121,4.6305,1e-05
130,0.000121,4.6317,1e-05
131,0.000119,4.5853,1e-05
132,0.000119,4.5804,1e-05
133,0.000120,4.5867,1e-05
134,0.000118,4.5672,1e-05
135,0.000116,4.5996,1e-05
136,0.000117,4.5789,1e-05
137,0.000115,4.5488,1e-05
138,0.000114,4.5549,1e-05
139,0.000115,4.5385,1e-05
140,0.000114,4.5103,1e-05
141,0.000113,4.5480,1e-05
142,0.000112,4.5261,1e-05
143,0.000112,4.4920,1e-05
144,0.000112,4.4689,1e-05
145,0.000111,4.5086,1e-05
146,0.000110,4.4767,1e-05
147,0.000110,4.4688,1e-05
148,0.000109,4.4782,1e-05
149,0.000109,4.4626,1e-05
150,0.000107,4.4534,1e-05
151,0.000107,4.4308,1e-05
152,0.000108,4.4570,1e-05
153,0.000107,4.4270,1e-05
154,0.000105,4.4359,1e-05
155,0.000105,4.4146,1e-05
156,0.000104,4.4249,1e-05
157,0.000104,4.4034,1e-05
158,0.000104,4.4208,1e-05
159,0.000104,4.3854,1e-05
160,0.000103,4.3841,1e-05
161,0.000103,4.3658,1e-05
162,0.000103,4.3957,1e-05
163,0.000103,4.3485,1e-05
164,0.000100,4.3745,1e-05
165,0.000101,4.3968,1e-05
166,0.000100,4.3485,1e-05
167,0.000099,4.3559,1e-05
168,0.000100,4.3537,1e-05
169,0.000099,4.3212,1e-05
170,0.000100,4.3644,1e-05
171,0.000098,4.3413,1e-05
172,0.000099,4.3163,1e-05
173,0.000098,4.3473,1e-05
174,0.000097,4.3438,1e-05
175,0.000097,4.3755,1e-05
176,0.000097,4.3264,1e-05
177,0.000096,4.3056,1e-05
178,0.000096,4.3595,1e-05
179,0.000096,4.2811,1e-05
180,0.000095,4.3162,1e-05
181,0.000096,4.2894,1e-05
182,0.000094,4.3036,1e-05
183,0.000095,4.2566,1e-05
184,0.000094,4.2684,1e-05
