Epoch,Train_Loss,Valid_Loss,Train_Kappa,Valid_Kappa,Valid_Acc,Valid_MAE,LR
1,2.8897702531010796,2.246925671022017,-0.03381925537903063,0.07457627118644061,0.4835164835164835,0.7582417582417582,0.0001
2,2.117864607678459,1.990446496795822,0.05930530392953082,0.08732373124198789,0.45054945054945056,0.7802197802197802,0.0001
3,1.8487689283279731,1.898737949329418,0.12961483889760672,0.0740182407477199,0.45054945054945056,0.7802197802197802,0.0001
4,1.7371894618101706,1.8986509448879367,0.22354985406065742,0.07136039938330507,0.45054945054945056,0.8021978021978022,0.0001
5,1.6292679068167824,1.8613470517672026,0.3110499809050984,0.14783043820144393,0.46153846153846156,0.7802197802197802,0.0001
6,1.5197649346940338,1.8483119692121233,0.43339858515650376,0.12544848795489505,0.42857142857142855,0.8351648351648352,0.0001
7,1.51525277646093,1.7325568775554279,0.4685013127287073,0.31617033119955473,0.43956043956043955,0.8021978021978022,0.0001
8,1.366336544581046,1.7619206512367331,0.5635347231513034,0.2200578806767587,0.4065934065934066,0.8571428571428571,0.0001
9,1.279502819230725,1.753454790010557,0.6117910417593079,0.3670357798675645,0.4945054945054945,0.7362637362637363,0.0001
10,1.2036466758723683,1.6376831086127313,0.7397005897196648,0.4651646871556263,0.5164835164835165,0.6373626373626373,0.0001
11,1.1155859660993677,1.8942252279637934,0.7311179699040435,0.3969851788153168,0.45054945054945056,0.7802197802197802,0.0001
12,1.0556145846707945,1.7163793202284927,0.7652016746279117,0.48482684755444483,0.4065934065934066,0.7582417582417582,0.0001
13,0.9419957426523021,1.6243662938966856,0.803074196592132,0.5594078691079081,0.4835164835164835,0.6483516483516484,0.0001
14,0.9066271635285814,1.6628072681007804,0.8116923736841165,0.569392033542977,0.4065934065934066,0.6703296703296703,0.0001
15,0.8760197633762837,1.7951795295044617,0.8299405002850937,0.4937275008181521,0.4175824175824176,0.7252747252747253,0.0001
16,0.7627463668652711,1.715187892809019,0.875857655270952,0.5327489041953664,0.43956043956043955,0.6593406593406593,0.0001
17,0.7506350892551396,1.7547360435946957,0.8616318980264802,0.5137934794460799,0.45054945054945056,0.7032967032967034,0.0001
18,0.6864761298772686,1.663986711711674,0.8832623538989597,0.521891418563923,0.4175824175824176,0.7252747252747253,0.0001
19,0.6397779260789614,1.6850595710041758,0.8913724843286044,0.6290624655723257,0.46153846153846156,0.6153846153846154,0.0001
20,0.591977409729925,1.8658035430279407,0.9096268970117176,0.5863636363636364,0.45054945054945056,0.6373626373626373,0.0001
21,0.5692566644086382,1.937295329439771,0.914421475855907,0.5683912119064494,0.45054945054945056,0.6703296703296703,0.0001
22,0.564518197115027,2.0218077780126213,0.9132682461021748,0.5866924037697285,0.3956043956043956,0.6813186813186813,0.0001
23,0.49724689689475476,2.1790037050351994,0.9301763532962471,0.5575189753320684,0.4175824175824176,0.6813186813186813,0.0001
24,0.4726288575246285,1.9237739830226688,0.9268000065070275,0.5718384209318338,0.4065934065934066,0.6813186813186813,0.0001
25,0.42030008547941483,1.9097942755772517,0.9373292356498464,0.5865046007043053,0.42857142857142855,0.6593406593406593,5e-05
26,0.41085603554862504,2.0010675257378883,0.9451009816794848,0.5795245782998384,0.3956043956043956,0.6923076923076923,5e-05
27,0.4404118904899085,1.9918260024144099,0.9337753076617705,0.5977842833362035,0.43956043956043955,0.6483516483516484,5e-05
28,0.37923058806356374,2.030773102582156,0.941152697276414,0.5911424903722722,0.4175824175824176,0.6813186813186813,5e-05
29,0.315852013698743,2.109109957139571,0.9613525341429966,0.5916500994035785,0.45054945054945056,0.6483516483516484,5e-05
30,0.33153980461231397,2.188215407696399,0.9571293167000163,0.5884263017511306,0.4175824175824176,0.6593406593406593,5e-05
31,0.33927860621846617,2.2635411770789178,0.9560844142725163,0.5978504010038735,0.4175824175824176,0.6703296703296703,5e-05
32,0.2701315272234567,2.203312886940254,0.976041601696501,0.5971277399848829,0.4065934065934066,0.6813186813186813,5e-05
33,0.3032316619823082,2.2137857321854475,0.9577276577180285,0.595692030819414,0.43956043956043955,0.6483516483516484,5e-05
34,0.281935196802665,2.2537796733143565,0.9672953262233375,0.5739465711925089,0.42857142857142855,0.6703296703296703,5e-05
35,0.2953788776604081,2.2178421361105785,0.9593306699090962,0.5937264451788716,0.42857142857142855,0.6483516483516484,5e-05
36,0.277130684507735,2.2317408179188822,0.965202176918095,0.5732708089097303,0.42857142857142855,0.6593406593406593,2.5e-05
37,0.250474439293214,2.2599184879889855,0.9761701665684419,0.6063407407407408,0.45054945054945056,0.6263736263736264,2.5e-05
38,0.220213705253764,2.327867350735507,0.976135745903549,0.5740861425439896,0.43956043956043955,0.6483516483516484,2.5e-05
39,0.24613436034844513,2.259876141181359,0.9745678268526672,0.5883785664578983,0.45054945054945056,0.6373626373626373,2.5e-05
40,0.21538818975515953,2.258518533392267,0.9746704465463721,0.6146528220894483,0.45054945054945056,0.6263736263736264,2.5e-05
41,0.25452345134457044,2.3185186438508087,0.9697612585928997,0.5821375272643783,0.42857142857142855,0.6593406593406593,2.5e-05
42,0.25596654941253616,2.3178743844503886,0.969074343681022,0.5920164208934262,0.42857142857142855,0.6703296703296703,2.5e-05
43,0.23217042379403713,2.2594622543879916,0.9751206251990877,0.5567667865012176,0.45054945054945056,0.6593406593406593,2.5e-05
44,0.19745202732520659,2.3262937566736244,0.982853036067213,0.6099638185360423,0.46153846153846156,0.6263736263736264,2.5e-05
45,0.20429296116079448,2.308577516576746,0.9794559011636976,0.5703687050359711,0.4175824175824176,0.6813186813186813,2.5e-05
46,0.1895832559921204,2.2607329389551185,0.9847209278043536,0.6071347421040673,0.4725274725274725,0.6153846153846154,2.5e-05
47,0.16982997237685601,2.2134202260237474,0.9866040096426719,0.586551567469332,0.46153846153846156,0.6373626373626373,1.25e-05
48,0.22826848662795673,2.2697671167143096,0.9715574769850572,0.577035634360475,0.45054945054945056,0.6483516483516484,1.25e-05
49,0.2579994763763184,2.3163950731466105,0.965335354779615,0.6100072354872822,0.46153846153846156,0.6263736263736264,1.25e-05
50,0.20924325356926082,2.35943023451082,0.9777529158610366,0.6252537555826227,0.4725274725274725,0.6043956043956044,1.25e-05
51,0.22104654503574675,2.321848649245042,0.9718559675178973,0.597922763527859,0.46153846153846156,0.6263736263736264,1.25e-05
52,0.17769385599329696,2.3316770831307214,0.9832073566313728,0.5814547725853159,0.45054945054945056,0.6483516483516484,1.25e-05
53,0.15292625173349314,2.35712066587511,0.988956380897461,0.5927243516180858,0.45054945054945056,0.6373626373626373,1.25e-05
54,0.16596368873377323,2.359871046883719,0.9848239835602758,0.5633552514661453,0.45054945054945056,0.6483516483516484,1.25e-05
55,0.21606302600786734,2.401916904763861,0.9804944296016397,0.6022140221402214,0.42857142857142855,0.6483516483516484,1.25e-05
56,0.23237941728094444,2.4198427200317383,0.973045026630143,0.6123260437375746,0.42857142857142855,0.6483516483516484,1.25e-05
57,0.17721865186998131,2.374135271533505,0.9854977837628811,0.5756026296566836,0.42857142857142855,0.6703296703296703,1.25e-05
58,0.17225817949054997,2.3479027852907284,0.9837681734767946,0.6093967517401392,0.4725274725274725,0.6153846153846154,6.25e-06
59,0.210696902117588,2.3593169935457,0.9789849591666746,0.6252537555826227,0.4725274725274725,0.6043956043956044,6.25e-06
60,0.21645000121282554,2.392931403694572,0.9740639794559934,0.6031217720647308,0.4725274725274725,0.6153846153846154,6.25e-06
61,0.21319054065437687,2.478143948775071,0.9711958933981744,0.5820415661958893,0.42857142857142855,0.6593406593406593,6.25e-06
62,0.15711603183002298,2.3974312268770657,0.9865171472556329,0.5831738853133878,0.43956043956043955,0.6483516483516484,6.25e-06
63,0.17045280449346964,2.363706981742775,0.9739041727628518,0.5968877782825988,0.45054945054945056,0.6373626373626373,6.25e-06
64,0.17129419377425809,2.430537994091327,0.9846102310218168,0.5865985235661555,0.46153846153846156,0.6373626373626373,6.25e-06
65,0.16342142095326834,2.463476987985464,0.9898192275135956,0.6200417536534446,0.46153846153846156,0.6153846153846154,6.25e-06
66,0.1934139401331578,2.4287284861554155,0.9756961745003598,0.5770841700613918,0.45054945054945056,0.6483516483516484,6.25e-06
67,0.18293091858438043,2.3606339496570627,0.9796279037391382,0.6124581227641814,0.45054945054945056,0.6263736263736264,6.25e-06
68,0.17106735740272766,2.4097118954082113,0.9788287219492622,0.6032128514056225,0.43956043956043955,0.6373626373626373,6.25e-06
69,0.1752072656039225,2.426702991946713,0.9803640154100765,0.61347721271955,0.43956043956043955,0.6373626373626373,3.125e-06
70,0.1671678444926451,2.328191427084116,0.9865363751720331,0.6136102823043379,0.46153846153846156,0.6153846153846154,3.125e-06
71,0.1523649680570345,2.338755067888197,0.9863723317980219,0.6124581227641814,0.45054945054945056,0.6263736263736264,3.125e-06
72,0.1531451862466634,2.416660969073956,0.9862352240303515,0.6032128514056225,0.43956043956043955,0.6373626373626373,3.125e-06
73,0.16320330946619255,2.3983296614426832,0.9803509468403303,0.5969335604770016,0.45054945054945056,0.6373626373626373,3.125e-06
74,0.16787392389801478,2.440591796413883,0.9882421362351114,0.6175167556514825,0.43956043956043955,0.6373626373626373,3.125e-06
75,0.24241851828568073,2.355717423197987,0.9693253677112811,0.6278964107223988,0.46153846153846156,0.6153846153846154,3.125e-06
76,0.1618584371712865,2.3227857940799588,0.9829363475232439,0.5918355759950038,0.43956043956043955,0.6483516483516484,3.125e-06
77,0.15713669926539098,2.4989545109507803,0.9865398324377774,0.6052292179622465,0.43956043956043955,0.6373626373626373,3.125e-06
78,0.15829597926085523,2.3833512421492693,0.986382952324824,0.6032128514056225,0.43956043956043955,0.6373626373626373,3.125e-06
79,0.16460977633884666,2.357159646002801,0.9832592903311915,0.618809892695243,0.4725274725274725,0.6043956043956044,3.125e-06
80,0.19865972794813014,2.4291607992989674,0.982241613453148,0.6123260437375745,0.45054945054945056,0.6263736263736264,1.5625e-06
