# Plan 1: AttentionMIL with CORAL Loss
epoch,train_loss,valid_loss,f1_macro,kappa,mae,learning_rate
1,0.453425,0.382511,0.1392,0.0276,0.8500,0.0001
2,0.383249,0.369958,0.1358,0.0820,0.8357,0.0001
3,0.379908,0.367065,0.1374,0.0127,0.8429,0.0001
4,0.379968,0.365135,0.1605,0.0613,0.8071,0.0001
5,0.369514,0.368528,0.1527,0.0274,0.8214,0.0001
6,0.369671,0.376616,0.1385,0.0338,0.8500,0.0001
7,0.360105,0.369449,0.1303,0.0005,0.8571,0.0001
8,0.354723,0.368029,0.1321,0.0370,0.8429,0.0001
9,0.354559,0.376876,0.1285,0.0935,0.8214,0.0001
